"DATE_GMT","TIME_GMT","SETTLEMENT_DATE","SETTLEMENT_PERIOD","EMBEDDED_WIND_FORECAST","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_FORECAST","EMBEDDED_SOLAR_CAPACITY"
"2025-04-17T00:00:00","08:30","2025-04-17T00:00:00",19,1203,6606,5464,18720
"2025-04-17T00:00:00","09:00","2025-04-17T00:00:00",20,1133,6606,6376,18720
"2025-04-17T00:00:00","09:30","2025-04-17T00:00:00",21,1090,6606,7347,18720
"2025-04-17T00:00:00","10:00","2025-04-17T00:00:00",22,1047,6606,8248,18720
"2025-04-17T00:00:00","10:30","2025-04-17T00:00:00",23,1018,6606,8917,18720
"2025-04-17T00:00:00","11:00","2025-04-17T00:00:00",24,989,6606,9323,18720
"2025-04-17T00:00:00","11:30","2025-04-17T00:00:00",25,1018,6606,9457,18720
"2025-04-17T00:00:00","12:00","2025-04-17T00:00:00",26,1047,6606,9269,18720
"2025-04-17T00:00:00","12:30","2025-04-17T00:00:00",27,1034,6606,8779,18720
"2025-04-17T00:00:00","13:00","2025-04-17T00:00:00",28,1021,6606,8320,18720
"2025-04-17T00:00:00","13:30","2025-04-17T00:00:00",29,1024,6606,8144,18720
"2025-04-17T00:00:00","14:00","2025-04-17T00:00:00",30,1026,6606,7865,18720
"2025-04-17T00:00:00","14:30","2025-04-17T00:00:00",31,930,6606,7109,18720
"2025-04-17T00:00:00","15:00","2025-04-17T00:00:00",32,833,6606,6195,18720
"2025-04-17T00:00:00","15:30","2025-04-17T00:00:00",33,760,6606,5485,18720
"2025-04-17T00:00:00","16:00","2025-04-17T00:00:00",34,687,6606,4801,18720
"2025-04-17T00:00:00","16:30","2025-04-17T00:00:00",35,594,6606,3925,18720
"2025-04-17T00:00:00","17:00","2025-04-17T00:00:00",36,500,6606,2991,18720
"2025-04-17T00:00:00","17:30","2025-04-17T00:00:00",37,434,6606,2170,18720
"2025-04-17T00:00:00","18:00","2025-04-17T00:00:00",38,368,6606,1414,18720
"2025-04-17T00:00:00","18:30","2025-04-17T00:00:00",39,371,6606,677,18720
"2025-04-17T00:00:00","19:00","2025-04-17T00:00:00",40,374,6606,144,18720
"2025-04-17T00:00:00","19:30","2025-04-17T00:00:00",41,404,6606,0,18720
"2025-04-17T00:00:00","20:00","2025-04-17T00:00:00",42,434,6606,0,18720
"2025-04-17T00:00:00","20:30","2025-04-17T00:00:00",43,467,6606,0,18720
"2025-04-17T00:00:00","21:00","2025-04-17T00:00:00",44,500,6606,0,18720
"2025-04-17T00:00:00","21:30","2025-04-17T00:00:00",45,528,6606,0,18720
"2025-04-17T00:00:00","22:00","2025-04-17T00:00:00",46,555,6606,0,18720
"2025-04-17T00:00:00","22:30","2025-04-17T00:00:00",47,579,6606,0,18720
"2025-04-17T00:00:00","23:00","2025-04-17T00:00:00",48,602,6606,0,18720
"2025-04-17T00:00:00","23:30","2025-04-18T00:00:00",1,632,6606,0,18727
"2025-04-18T00:00:00","00:00","2025-04-18T00:00:00",2,662,6606,0,18727
"2025-04-18T00:00:00","00:30","2025-04-18T00:00:00",3,686,6606,0,18727
"2025-04-18T00:00:00","01:00","2025-04-18T00:00:00",4,709,6606,0,18727
"2025-04-18T00:00:00","01:30","2025-04-18T00:00:00",5,728,6606,0,18727
"2025-04-18T00:00:00","02:00","2025-04-18T00:00:00",6,746,6606,0,18727
"2025-04-18T00:00:00","02:30","2025-04-18T00:00:00",7,774,6606,0,18727
"2025-04-18T00:00:00","03:00","2025-04-18T00:00:00",8,801,6606,0,18727
"2025-04-18T00:00:00","03:30","2025-04-18T00:00:00",9,847,6606,0,18727
"2025-04-18T00:00:00","04:00","2025-04-18T00:00:00",10,893,6606,0,18727
"2025-04-18T00:00:00","04:30","2025-04-18T00:00:00",11,963,6606,0,18727
"2025-04-18T00:00:00","05:00","2025-04-18T00:00:00",12,1033,6606,0,18727
"2025-04-18T00:00:00","05:30","2025-04-18T00:00:00",13,1096,6606,153,18727
