date,hour,da_price_prediction,residual_load
2025-04-19,1,20.89548,3785
2025-04-19,2,19.46484,4040
2025-04-19,3,18.162374,3507
2025-04-19,4,17.333195,3128
2025-04-19,5,22.320848,2856
2025-04-19,6,20.434572,3010
2025-04-19,7,21.672308,3629
2025-04-19,8,21.3535,4895
2025-04-19,9,24.123953,4890
2025-04-19,10,26.808264,3524
2025-04-19,11,20.33837,1137
2025-04-19,12,19.91932,-1041
2025-04-19,13,19.379534,-566
2025-04-19,14,16.709518,-1928
2025-04-19,15,14.572423,-1385
2025-04-19,16,19.947365,947
2025-04-19,17,30.495047,4304
2025-04-19,18,24.518627,9088
2025-04-19,19,31.973694,12237
2025-04-19,20,26.19395,13995
2025-04-19,21,26.645115,14917
2025-04-19,22,20.036432,13719
2025-04-19,23,30.175894,12070
2025-04-19,24,20.146446,10972
2025-04-20,1,19.352829,9693
2025-04-20,2,14.490853,10410
2025-04-20,3,15.238799,10096
2025-04-20,4,14.95656,9740
2025-04-20,5,16.421587,9999
2025-04-20,6,19.21632,10187
2025-04-20,7,21.381166,9913
2025-04-20,8,16.75666,9664
2025-04-20,9,19.34133,8511
2025-04-20,10,22.994345,6243
2025-04-20,11,23.122,4426
2025-04-20,12,21.317638,2998
2025-04-20,13,20.929518,5238
2025-04-20,14,17.581352,4333
2025-04-20,15,15.774903,4453
2025-04-20,16,25.202974,7171
2025-04-20,17,27.165426,11083
2025-04-20,18,30.585012,14900
2025-04-20,19,29.291468,18055
2025-04-20,20,35.066246,20009
2025-04-20,21,32.170982,20295
2025-04-20,22,25.335764,18295
2025-04-20,23,24.540022,16359
2025-04-20,24,24.36212,14403
2025-04-21,1,20.104507,13727
2025-04-21,2,22.944355,13816
2025-04-21,3,17.343168,12916
2025-04-21,4,15.401045,12257
2025-04-21,5,21.85348,11638
2025-04-21,6,26.676044,11517
2025-04-21,7,26.377762,11930
2025-04-21,8,21.136717,11938
2025-04-21,9,23.191246,11674
2025-04-21,10,25.987068,9093
2025-04-21,11,21.000902,6295
2025-04-21,12,23.095057,3794
2025-04-21,13,21.948704,4851
2025-04-21,14,19.34611,3790
2025-04-21,15,17.726477,5177
2025-04-21,16,28.269941,6524
2025-04-21,17,34.62461,9887
2025-04-21,18,32.335438,14061
2025-04-21,19,28.755493,17142
2025-04-21,20,32.22777,18370
2025-04-21,21,29.539328,18485
2025-04-21,22,21.11544,16568
2025-04-21,23,25.866566,14537
2025-04-21,24,19.115051,12472
2025-04-22,1,24.103436,12048
2025-04-22,2,22.24663,12558
2025-04-22,3,20.493343,12438
2025-04-22,4,21.76422,12121
2025-04-22,5,24.258295,11924
2025-04-22,6,26.065554,13112
2025-04-22,7,32.62753,16188
2025-04-22,8,29.012829,18665
2025-04-22,9,30.44171,17381
2025-04-22,10,22.921461,14717
2025-04-22,11,26.174643,11694
2025-04-22,12,22.605078,10347
2025-04-22,13,23.408657,10796
2025-04-22,14,21.941977,10312
2025-04-22,15,23.207361,11691
2025-04-22,16,25.484926,13784
2025-04-22,17,40.662548,16747
2025-04-22,18,35.84868,19961
2025-04-22,19,35.31478,22484
2025-04-22,20,41.034878,23521
2025-04-22,21,39.143192,23774
2025-04-22,22,32.578487,21818
2025-04-22,23,28.38544,18554
2025-04-22,24,27.10117,16106
2025-04-23,1,28.541044,15893
2025-04-23,2,28.040588,16152
2025-04-23,3,27.820337,15537
2025-04-23,4,25.64277,15039
2025-04-23,5,25.579771,14517
2025-04-23,6,32.751698,15380
2025-04-23,7,33.06894,18250
2025-04-23,8,34.68991,20291
2025-04-23,9,33.930225,19248
2025-04-23,10,29.128397,15999
2025-04-23,11,28.514265,12680
2025-04-23,12,27.924202,10189
2025-04-23,13,24.232525,9629
2025-04-23,14,14.71122,8865
2025-04-23,15,24.47695,9805
2025-04-23,16,28.817549,11450
2025-04-23,17,45.99809,15215
2025-04-23,18,35.94368,18471
2025-04-23,19,35.871647,20583
2025-04-23,20,38.578217,21856
2025-04-23,21,37.08589,22013
2025-04-23,22,33.70083,20558
2025-04-23,23,28.313015,17099
2025-04-23,24,25.953085,14457
2025-04-24,1,21.86612,13185
2025-04-24,2,20.148914,12986
2025-04-24,3,20.378649,12698
2025-04-24,4,21.314117,11768
2025-04-24,5,22.680578,11241
2025-04-24,6,27.960112,11910
2025-04-24,7,26.655485,14579
2025-04-24,8,29.554352,16410
2025-04-24,9,30.778194,15888
2025-04-24,10,26.863573,12769
2025-04-24,11,22.628628,8707
2025-04-24,12,19.12216,6880
2025-04-24,13,20.67669,7008
2025-04-24,14,13.763709,5641
